subject	stream	number	mean_amp	baseline	mean_times	p3_group
20	single	4	-0.5850232640976398	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
20	single	5	-0.2241329985715763	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
20	single	6	0.036597319712585896	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
20	single	7	-0.1543485224236728	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
20	single	8	0.34589453900745243	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
20	single	9	0.3599139128604852	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
21	single	1	0.5475386156861503	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
21	single	2	-0.24522686607747057	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
21	single	3	-0.37195454271767775	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
21	single	4	-0.5834260580227499	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
21	single	5	-0.09257659595504585	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
21	single	6	0.15880489403870637	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
21	single	7	-0.03196751441261459	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
21	single	8	0.125451372514375	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
21	single	9	0.4538640147170538	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
22	single	1	0.08276311780933311	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
22	single	2	0.22733250293813181	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
22	single	3	-0.2587785912329941	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
22	single	4	-0.057266404803990964	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
22	single	5	-0.3362190675299569	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
22	single	6	-0.047102438519827344	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
22	single	7	0.19210794195041683	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
22	single	8	-0.4947706973758878	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
22	single	9	0.6256014196623748	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
24	single	1	-0.0006358130189611681	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
24	single	2	-0.023254020903710624	(None, 0)	(0.3, 0.7)	['CP1', 'P1', 'POz', 'Pz', 'CPz', 'CP2', 'P2']
