subject	stream	weight_type	number	weight	x0_type
5	dual	model	7	0.532274110077589	specific
5	dual	model	8	0.6249626351375366	specific
5	dual	model	9	0.6803931322661643	specific
5	dual	model_k1	1	0.3559644933309908	specific
5	dual	model_k1	2	0.4047819280293016	specific
5	dual	model_k1	3	0.40677712370974917	specific
5	dual	model_k1	4	0.4374432175210845	specific
5	dual	model_k1	5	0.4808769703163596	specific
5	dual	model_k1	6	0.5591263380310058	specific
5	dual	model_k1	7	0.5841895168497758	specific
5	dual	model_k1	8	0.6494398908988112	specific
5	dual	model_k1	9	0.6246097858354714	specific
5	dual	model_mean	1	0.38657686595512514	specific
5	dual	model_mean	2	0.4409284528679019	specific
5	dual	model_mean	3	0.44789941217020907	specific
5	dual	model_mean	4	0.44660159702426494	specific
5	dual	model_mean	5	0.45907740079109927	specific
5	dual	model_mean	6	0.5189065559194401	specific
5	dual	model_mean	7	0.5420545463413751	specific
5	dual	model_mean	8	0.6157105971339166	specific
5	dual	model_mean	9	0.6437900687444519	specific
5	single	data	1	0.29577464788732394	specific
5	single	data	2	0.39869281045751637	specific
5	single	data	3	0.4289855072463768	specific
5	single	data	4	0.38977635782747605	specific
5	single	data	5	0.5195195195195195	specific
5	single	data	6	0.48672566371681414	specific
5	single	data	7	0.4879518072289157	specific
5	single	data	8	0.5348101265822784	specific
5	single	data	9	0.6275659824046921	specific
5	single	model	1	0.2947860592413389	specific
5	single	model	2	0.4037110904641746	specific
5	single	model	3	0.41153743612510424	specific
5	single	model	4	0.4205782259839975	specific
5	single	model	5	0.49652471145113225	specific
5	single	model	6	0.46987916417745135	specific
5	single	model	7	0.49446410577237726	specific
5	single	model	8	0.5497834683005223	specific
5	single	model	9	0.6176182617428031	specific
5	single	model_k1	1	0.31317148369396647	specific
5	single	model_k1	2	0.40004979680379893	specific
5	single	model_k1	3	0.40005919747169977	specific
5	single	model_k1	4	0.4084232198906903	specific
5	single	model_k1	5	0.49853842268934967	specific
5	single	model_k1	6	0.49894814138377824	specific
5	single	model_k1	7	0.5228481957059314	specific
5	single	model_k1	8	0.57121696329856	specific
5	single	model_k1	9	0.609788042371885	specific
5	single	model_mean	1	0.4015158596640571	specific
5	single	model_mean	2	0.4805503726081794	specific
5	single	model_mean	3	0.47808880542430154	specific
5	single	model_mean	4	0.48268172704059503	specific
5	single	model_mean	5	0.5847603542803242	specific
5	single	model_mean	6	0.5885252354085942	specific
5	single	model_mean	7	0.6087090570803841	specific
5	single	model_mean	8	0.6434224679177464	specific
5	single	model_mean	9	0.6637068049022065	specific
6	dual	data	1	0.3903225806451613	specific
6	dual	data	2	0.3817663817663818	specific
6	dual	data	3	0.4391025641025641	specific
6	dual	data	4	0.4456824512534819	specific
6	dual	data	5	0.48787878787878786	specific
6	dual	data	6	0.5449438202247191	specific
6	dual	data	7	0.5221518987341772	specific
6	dual	data	8	0.639751552795031	specific
6	dual	data	9	0.6453488372093024	specific
6	dual	model	1	0.3846586847565498	specific
6	dual	model	2	0.38332386288239007	specific
6	dual	model	3	0.44675184091671877	specific
6	dual	model	4	0.44384280674542465	specific
6	dual	model	5	0.4849527292788176	specific
6	dual	model	6	0.5427411468636361	specific
6	dual	model	7	0.5421883026582397	specific
6	dual	model	8	0.6169325391193516	specific
6	dual	model	9	0.6518865107099644	specific
6	dual	model_k1	1	0.3792710748635455	specific
6	dual	model_k1	2	0.38481459659335054	specific
6	dual	model_k1	3	0.45177560936893524	specific
6	dual	model_k1	4	0.4526161673627099	specific
6	dual	model_k1	5	0.49279902665152475	specific
6	dual	model_k1	6	0.5363525471719991	specific
6	dual	model_k1	7	0.5358773648291074	specific
6	dual	model_k1	8	0.6114508484532807	specific
6	dual	model_k1	9	0.6515210555393172	specific
6	dual	model_mean	1	0.3752915863676327	specific
6	dual	model_mean	2	0.39864219793626027	specific
6	dual	model_mean	3	0.4629183854002828	specific
6	dual	model_mean	4	0.4544909541946308	specific
6	dual	model_mean	5	0.47045563065060053	specific
6	dual	model_mean	6	0.5085107435547649	specific
6	dual	model_mean	7	0.5135704170628314	specific
6	dual	model_mean	8	0.6221339030387214	specific
6	dual	model_mean	9	0.6896740016253732	specific
6	single	data	1	0.4	specific
6	single	data	2	0.4017094017094017	specific
6	single	data	3	0.44551282051282054	specific
6	single	data	4	0.4428969359331476	specific
6	single	data	5	0.48787878787878786	specific
6	single	data	6	0.4691011235955056	specific
6	single	data	7	0.5126582278481012	specific
6	single	data	8	0.593167701863354	specific
6	single	data	9	0.627906976744186	specific
6	single	model	1	0.3786609928533866	specific
6	single	model	2	0.39617014467816286	specific
6	single	model	3	0.4337229359760977	specific
6	single	model	4	0.48253020026203725	specific
6	single	model	5	0.5006914565881802	specific
6	single	model	6	0.5007864560134703	specific
6	single	model	7	0.5215434448648564	specific
6	single	model	8	0.5762045746849145	specific
6	single	model	9	0.6093369232175412	specific
6	single	model_k1	1	0.3804186086607975	specific
6	single	model_k1	2	0.39112166343882704	specific
6	single	model_k1	3	0.42796166088042586	specific
6	single	model_k1	4	0.4761825033016885	specific
6	single	model_k1	5	0.5000045929933689	specific
6	single	model_k1	6	0.5086521852958735	specific
6	single	model_k1	7	0.5276906932469646	specific
6	single	model_k1	8	0.5790000691126007	specific
6	single	model_k1	9	0.6069337122746182	specific
6	single	model_mean	1	0.40227657796150573	specific
6	single	model_mean	2	0.4084929411294525	specific
6	single	model_mean	3	0.4537082245444712	specific
6	single	model_mean	4	0.5145775337129114	specific
6	single	model_mean	5	0.560806368027694	specific
6	single	model_mean	6	0.576071018992158	specific
6	single	model_mean	7	0.6004313724147242	specific
6	single	model_mean	8	0.6572633656306311	specific
6	single	model_mean	9	0.6811684331475558	specific
7	dual	data	1	0.4006514657980456	specific
7	dual	data	2	0.4114285714285714	specific
7	dual	data	3	0.42441860465116277	specific
7	dual	data	4	0.46518105849582175	specific
7	dual	data	5	0.45103857566765576	specific
7	dual	data	6	0.5	specific
7	dual	data	7	0.527536231884058	specific
7	dual	data	8	0.6024464831804281	specific
7	dual	data	9	0.7289719626168224	specific
7	dual	model	1	0.39789319805266243	specific
7	dual	model	2	0.4213973277537483	specific
7	dual	model	3	0.4396812598939633	specific
7	dual	model	4	0.45026650852406946	specific
7	dual	model	5	0.4523681571748896	specific
7	dual	model	6	0.47118671741140034	specific
7	dual	model	7	0.5310549639439031	specific
7	dual	model	8	0.6327436298937125	specific
7	dual	model	9	0.7128492604953085	specific
7	dual	model_k1	1	0.35232617393524496	specific
7	dual	model_k1	2	0.3904018305047061	specific
7	dual	model_k1	3	0.4327093443162125	specific
7	dual	model_k1	4	0.4807966621730613	specific
7	dual	model_k1	5	0.5056066195084863	specific
7	dual	model_k1	6	0.5143706963206248	specific
7	dual	model_k1	7	0.5625106789652142	specific
7	dual	model_k1	8	0.6268334950419435	specific
7	dual	model_k1	9	0.638168610607036	specific
7	dual	model_mean	1	0.3735575815018686	specific
7	dual	model_mean	2	0.4201032971867637	specific
7	dual	model_mean	3	0.4575685929928284	specific
7	dual	model_mean	4	0.47926672088076433	specific
7	dual	model_mean	5	0.47660629722200387	specific
7	dual	model_mean	6	0.48590691650980067	specific
7	dual	model_mean	7	0.5339389115942582	specific
7	dual	model_mean	8	0.6141215980554956	specific
7	dual	model_mean	9	0.6621407050835264	specific
7	single	data	1	0.38436482084690554	specific
7	single	data	2	0.38285714285714284	specific
7	single	data	3	0.35755813953488375	specific
7	single	data	4	0.43175487465181056	specific
7	single	data	5	0.39465875370919884	specific
7	single	data	6	0.6451612903225806	specific
7	single	data	7	0.5971014492753624	specific
7	single	data	8	0.5840978593272171	specific
7	single	data	9	0.6853582554517134	specific
7	single	model	1	0.35029751947924603	specific
7	single	model	2	0.33190110820774	specific
7	single	model	3	0.3185677841914845	specific
7	single	model	4	0.3837572900268107	specific
7	single	model	5	0.3971728716511323	specific
7	single	model	6	0.5740937960131712	specific
7	single	model	7	0.5701862487063242	specific
7	single	model	8	0.560692421519859	specific
7	single	model	9	0.6232829545671933	specific
7	single	model_k1	1	0.343462626310665	specific
7	single	model_k1	2	0.3520151318174083	specific
7	single	model_k1	3	0.3638996960609207	specific
7	single	model_k1	4	0.45753817949616066	specific
7	single	model_k1	5	0.42349243693507216	specific
7	single	model_k1	6	0.5466461706000497	specific
7	single	model_k1	7	0.5546400997140608	specific
7	single	model_k1	8	0.5775490380245902	specific
7	single	model_k1	9	0.6734494324966147	specific
7	single	model_mean	1	0.40954737680384495	specific
7	single	model_mean	2	0.4096461419125258	specific
7	single	model_mean	3	0.4216065187754242	specific
7	single	model_mean	4	0.4955932145775923	specific
7	single	model_mean	5	0.48773827314659	specific
7	single	model_mean	6	0.5882815486153404	specific
7	single	model_mean	7	0.5975993785049473	specific
7	single	model_mean	8	0.6111165227857462	specific
7	single	model_mean	9	0.6789121497404479	specific
8	dual	data	1	0.40789473684210525	specific
8	dual	data	2	0.4107744107744108	specific
8	dual	data	3	0.4262295081967213	specific
8	dual	data	4	0.45558739255014324	specific
8	dual	data	5	0.41388888888888886	specific
8	dual	data	6	0.46645367412140576	specific
8	dual	data	7	0.5691906005221932	specific
8	dual	data	8	0.6428571428571429	specific
8	dual	data	9	0.6707692307692308	specific
8	dual	model	1	0.40628624417278053	specific
8	dual	model	2	0.4127157242856705	specific
8	dual	model	3	0.44207873712248136	specific
8	dual	model	4	0.42393770462723834	specific
8	dual	model	5	0.4237630742936318	specific
8	dual	model	6	0.48672199886269596	specific
8	dual	model	7	0.5697558477048588	specific
8	dual	model	8	0.6228659421559153	specific
8	dual	model	9	0.6808792397412992	specific
8	dual	model_k1	1	0.35840902675558056	specific
8	dual	model_k1	2	0.39540237375835013	specific
8	dual	model_k1	3	0.4378268301768518	specific
8	dual	model_k1	4	0.4504530612473533	specific
8	dual	model_k1	5	0.4771506054081974	specific
8	dual	model_k1	6	0.5351323855669204	specific
8	dual	model_k1	7	0.5964548945042122	specific
8	dual	model_k1	8	0.6036835136929674	specific
8	dual	model_k1	9	0.601262064837098	specific
8	dual	model_mean	1	0.3719524136374283	specific
8	dual	model_mean	2	0.41016360892749415	specific
8	dual	model_mean	3	0.45844210142959274	specific
8	dual	model_mean	4	0.45512519874655516	specific
8	dual	model_mean	5	0.4550012637123054	specific
8	dual	model_mean	6	0.5074732079726457	specific
8	dual	model_mean	7	0.5722001718223406	specific
8	dual	model_mean	8	0.6025991548868462	specific
8	dual	model_mean	9	0.63171080580168	specific
8	single	data	1	0.3881578947368421	specific
8	single	data	2	0.36363636363636365	specific
8	single	data	3	0.4524590163934426	specific
8	single	data	4	0.5329512893982808	specific
8	single	data	5	0.5666666666666667	specific
8	single	data	6	0.5782747603833865	specific
8	single	data	7	0.6161879895561357	specific
8	single	data	8	0.7087912087912088	specific
8	single	data	9	0.68	specific
8	single	model	1	0.3937739661736769	specific
8	single	model	2	0.37080169009174463	specific
8	single	model	3	0.4536079043285646	specific
8	single	model	4	0.5219038904827759	specific
8	single	model	5	0.5463067129051191	specific
8	single	model	6	0.5809999516510468	specific
8	single	model	7	0.6206929647594115	specific
8	single	model	8	0.6909140198042704	specific
8	single	model	9	0.6994904293526637	specific
8	single	model_k1	1	0.3955955452466423	specific
8	single	model_k1	2	0.3686816004333234	specific
8	single	model_k1	3	0.44951206018545303	specific
8	single	model_k1	4	0.5167300803825484	specific
8	single	model_k1	5	0.545192657074625	specific
8	single	model_k1	6	0.585318882858151	specific
8	single	model_k1	7	0.6260116866136076	specific
8	single	model_k1	8	0.6923129966154572	specific
8	single	model_k1	9	0.6961875541807605	specific
8	single	model_mean	1	0.4447407805435904	specific
8	single	model_mean	2	0.4175145446968519	specific
8	single	model_mean	3	0.4891340317578572	specific
8	single	model_mean	4	0.5454862427107454	specific
8	single	model_mean	5	0.578606100000639	specific
8	single	model_mean	6	0.6199268094181983	specific
8	single	model_mean	7	0.6588107368085517	specific
8	single	model_mean	8	0.7073531015341165	specific
8	single	model_mean	9	0.708509171607564	specific
9	dual	data	1	0.4074074074074074	specific
9	dual	data	2	0.3773006134969325	specific
9	dual	data	3	0.42201834862385323	specific
9	dual	data	4	0.4077669902912621	specific
9	dual	data	5	0.5014492753623189	specific
9	dual	data	6	0.5273224043715847	specific
9	dual	data	7	0.600609756097561	specific
9	dual	data	8	0.603399433427762	specific
9	dual	data	9	0.6366459627329193	specific
9	dual	model	1	0.39427999133764957	specific
9	dual	model	2	0.39211499067882716	specific
9	dual	model	3	0.4113314539889125	specific
9	dual	model	4	0.4384644162813048	specific
9	dual	model	5	0.48087844827747583	specific
9	dual	model	6	0.5283829617080098	specific
9	dual	model	7	0.5930657680423621	specific
9	dual	model	8	0.6179758668151558	specific
9	dual	model	9	0.6287907584332322	specific
9	dual	model_k1	1	0.37396545930269515	specific
9	dual	model_k1	2	0.39098979867859407	specific
9	dual	model_k1	3	0.42075800937192176	specific
9	dual	model_k1	4	0.4621913559348427	specific
9	dual	model_k1	5	0.5083287336333276	specific
9	dual	model_k1	6	0.5268745880799997	specific
9	dual	model_k1	7	0.5702192600216621	specific
9	dual	model_k1	8	0.6081643158061021	specific
9	dual	model_k1	9	0.6243605144744818	specific
9	dual	model_mean	1	0.3879817071282182	specific
9	dual	model_mean	2	0.42246088639520196	specific
9	dual	model_mean	3	0.44374256105034426	specific
9	dual	model_mean	4	0.4709106446594436	specific
9	dual	model_mean	5	0.48309745870241694	specific
9	dual	model_mean	6	0.49103800505125406	specific
9	dual	model_mean	7	0.5445506984453318	specific
9	dual	model_mean	8	0.6038279847744348	specific
9	dual	model_mean	9	0.6453541318194215	specific
9	single	data	1	0.3734567901234568	specific
9	single	data	2	0.3374233128834356	specific
9	single	data	3	0.3486238532110092	specific
9	single	data	4	0.37216828478964403	specific
9	single	data	5	0.43768115942028984	specific
9	single	data	6	0.48360655737704916	specific
9	single	data	7	0.5335365853658537	specific
9	single	data	8	0.6062322946175638	specific
9	single	data	9	0.6614906832298136	specific
9	single	model	1	0.3363878909273224	specific
9	single	model	2	0.32131564028306053	specific
9	single	model	3	0.3692537016821989	specific
9	single	model	4	0.4041052833457677	specific
9	single	model	5	0.42657888380529774	specific
9	single	model	6	0.5143829037952394	specific
9	single	model	7	0.5487113137925932	specific
9	single	model	8	0.5869220518434695	specific
9	single	model	9	0.6296069767438772	specific
9	single	model_k1	1	0.3255001655102851	specific
9	single	model_k1	2	0.32679241811362875	specific
9	single	model_k1	3	0.38426581626284956	specific
9	single	model_k1	4	0.41978937420339457	specific
9	single	model_k1	5	0.43292517204761743	specific
9	single	model_k1	6	0.4991757875852167	specific
