subject	stream	bias	kappa	number	dv	dv_abs	dv_abs_k1	mapmax_bias	mapmax_kappa
13	single	0.5	3.027364102351051	1	-0.12265142473577138	0.12265142473577138	0.5	0.15384615384615385	1.4918246976412708
13	single	0.5	3.027364102351051	2	-0.015043371989714593	0.015043371989714593	0.25	0.15384615384615385	1.4918246976412708
13	single	0.5	3.027364102351051	3	0.0	0.0	0.0	0.15384615384615385	1.4918246976412708
13	single	0.5	3.027364102351051	4	0.015043371989714593	0.015043371989714593	0.25	0.15384615384615385	1.4918246976412708
13	single	0.5	3.027364102351051	5	0.12265142473577138	0.12265142473577138	0.5	0.15384615384615385	1.4918246976412708
13	single	0.5	3.027364102351051	6	0.4185669695520188	0.4185669695520188	0.75	0.15384615384615385	1.4918246976412708
13	single	0.5	3.027364102351051	7	1.0	1.0	1.0	0.15384615384615385	1.4918246976412708
13	single	0.5	3.027364102351051	8	1.965087506539527	1.965087506539527	1.25	0.15384615384615385	1.4918246976412708
13	single	0.5	3.027364102351051	9	3.4126547690231877	3.4126547690231877	1.5	0.15384615384615385	1.4918246976412708
13	dual	0.25384615384615383	0.5404329964865341	1	-0.8536350944417825	0.8536350944417825	0.7461538461538462	0.5	1.9678135965090222
13	dual	0.25384615384615383	0.5404329964865341	2	-0.6847011205462752	0.6847011205462752	0.49615384615384617	0.5	1.9678135965090222
13	dual	0.25384615384615383	0.5404329964865341	3	-0.46880039901423076	0.46880039901423076	0.24615384615384617	0.5	1.9678135965090222
13	dual	0.25384615384615383	0.5404329964865341	4	0.04953004438012028	0.04953004438012028	0.0038461538461538325	0.5	1.9678135965090222
13	dual	0.25384615384615383	0.5404329964865341	5	0.47666174487818086	0.47666174487818086	0.25384615384615383	0.5	1.9678135965090222
13	dual	0.25384615384615383	0.5404329964865341	6	0.6904178130305173	0.6904178130305173	0.5038461538461538	0.5	1.9678135965090222
13	dual	0.25384615384615383	0.5404329964865341	7	0.8583798899800767	0.8583798899800767	0.7538461538461538	0.5	1.9678135965090222
13	dual	0.25384615384615383	0.5404329964865341	8	1.002076754856914	1.002076754856914	1.0038461538461538	0.5	1.9678135965090222
13	dual	0.25384615384615383	0.5404329964865341	9	1.1300416108583677	1.1300416108583677	1.2538461538461538	0.5	1.9678135965090222
